Name,RA (deg),DEC (deg),P (ms),Edot,Discovery,Characteristics,References
PSR J0357+3205,59.47,32.09,444.1,5.90E+33,GU,q,"6,14,23,45"
PSR J0359+5414,59.86,54.25,79.43,1.30E+36,GU,q,"P201,64"
PSR J0554+3107,88.52,31.13,464.96,5.60E+34,GU,q,"P201,51"
PSR J0622+3749,95.54,37.82,333.21,2.70E+34,GU,q,"32,45"
PSR J0633+0632,98.43,6.54,297.4,1.20E+35,GU,q,"6,14,23,45"
PSR J0734-1559,113.69,-15.99,155.14,1.30E+35,GU,q,"P8,45"
PSR J0744-2525,116.02,-25.42,92.01,–,GU,q,92
PSR J0802-5613,120.6,-56.22,274.09,–,GU,q,92
PSR J1023-5746,155.76,-57.77,111.47,1.10E+37,GU,q,"21,45"
PSR J1044-5737,161.14,-57.62,139.03,8.00E+35,GU,q,"21,45"
PSR J1057-5851,164.29,-58.85,620.35,1.70E+34,GU,q,"P201,64"
PSR J1105-6037,166.25,-60.62,194.93,1.20E+35,GU,q,"P201,64"
PSR J1111-6039,167.95,-60.66,106.67,–,GU,q,P25
PSR J1135-6055,173.78,-60.93,114.49,2.10E+36,GU,q,"P11,45"
PSR J1139-6247,174.82,-62.79,120.43,–,GU,q,92
PSR J1203-6242,180.98,-62.71,100.64,–,GU,q,92
PSR J1208-6238,182.06,-62.63,440.52,1.50E+36,GU,q,"P201,63"
PSR J1231-5113,187.9,-51.23,206.44,–,GU,q,"83,92"
PSR J1231-6511,187.93,-65.2,247.37,–,GU,q,92
PSR J1350-6225,207.68,-62.43,138.16,1.30E+35,GU,q,"P201,64"
PSR J1358-6025,209.61,-60.43,60.52,–,GU,q,92
PSR J1413-6205,213.37,-62.09,109.74,8.30E+35,GU,q,"21,45"
PSR J1418-6058,214.68,-60.97,110.57,5.00E+36,GU,q,"6,14,23,45"
PSR J1422-6138,215.62,-61.64,340.97,9.60E+34,GU,q,"P201,51"
PSR J1429-5911,217.49,-59.19,115.84,7.70E+35,GU,q,"21,45"
PSR J1447-5757,221.87,-57.96,158.73,–,GU,q,92
PSR J1522-5735,230.52,-57.58,102.14,1.20E+36,GU,q,"P201,51"
PSR J1528-5838,232.1,-58.63,355.75,2.20E+34,GU,q,"P201,64"
PSR J1615-5137,243.82,-51.62,179.28,7.30E+34,GU,q,81
PSR J1620-4927,245.17,-49.46,171.93,8.20E+34,GU,q,"32,45"
PSR J1623-5005,245.77,-50.09,85.11,2.70E+35,GU,q,"P201,64"
PSR J1624-4041,246.04,-40.69,167.86,4.00E+34,GU,q,"P201,64"
PSR J1641-5317,250.32,-53.3,175.11,2.70E+34,GU,q,74
PSR J1650-4601,252.58,-46.02,127.06,2.90E+35,GU,q,"P201,64"
PSR J1714-3830,258.58,-38.51,84.14,–,GU,q,P25
PSR J1736-3422,264.05,-34.37,346.93,–,GU,q,92
PSR J1742-3321,265.55,-33.36,143.31,–,GU,q,92
PSR J1746-3239,266.73,-32.67,199.54,3.30E+34,GU,q,"32,45"
PSR J1748-2815,267.13,-28.25,100.16,–,GU,q,92
PSR J1803-2149,270.79,-21.82,106.33,6.40E+35,GU,q,"32,45"
PSR J1809-2332,272.46,-23.54,146.79,4.30E+35,G,q,"6,14,23,45"
PSR J1813-1246,273.35,-12.77,48.07,6.20E+36,GU,q,"6,14,23,45"
PSR J1817-1742,274.29,-17.7,149.74,2.40E+35,GU,q,74
PSR J1827-1446,276.85,-14.77,499.19,1.40E+34,GU,q,"P201,64"
PSR J1836+5925,279.06,59.42,173.26,1.10E+34,G,q,"6,14,16,23,45"
PSR J1838-0537,279.73,-5.62,145.71,5.90E+36,GU,q,"40,45"
PSR J1844-0346,281.14,-3.78,112.85,4.30E+36,GU,q,"P201,64"
PSR J1846+0919,281.61,9.33,225.55,3.40E+34,GU,q,"21,45"
PSR J1906+0722,286.63,7.38,111.48,1.00E+36,GU,q,"P201,58"
PSR J1932+1916,293.08,19.28,208.21,4.10E+35,GU,q,"P201,51"
PSR J1954+2836,298.58,28.6,92.71,1.00E+36,GU,q,"21,45"
PSR J1957+5033,299.41,50.56,374.81,5.30E+33,GU,q,"21,45"
PSR J1958+2846,299.67,28.76,290.39,3.40E+35,GU,q,"6,14,23,45"
PSR J2017+3625,304.48,36.42,166.75,1.20E+34,GU,q,"P201,64"
PSR J2021+4026,305.38,40.45,265.32,1.20E+35,G,q,"6,14,23,33,45"
PSR J2028+3332,307.08,33.53,176.71,3.50E+34,GU,q,"32,45"
PSR J2030+4415,307.72,44.26,227.07,2.20E+34,GU,q,"32,45"
PSR J2055+2539,313.95,25.67,319.56,4.90E+33,GU,q,"21,45"
PSR J2111+4606,317.85,46.11,157.83,1.40E+36,GU,q,"32,45"
PSR J2139+4716,324.98,47.27,282.85,3.10E+33,GU,q,"32,45"
PSR J2238+5903,339.62,59.06,162.73,8.90E+35,GU,q,"6,14,23"
